procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 877980   2980  81560 2809 7231  4316  7252  564  772  2 26 67  5  0
 0  0      0 877728   3120  81592    0    0   144     0  317  307  0  5 95  0  0
 1  1      0 877728   3132  81580    0    0     4    48  313  280  1  1 98  0  0
 0  0      0 817252   4312  86388    0    0  5956     0  494  842 18 37 40  6  0
 0  0      0 713932   4312  86580    0    0   160     0  344  492 13 15 72  0  0
 0  0      0 611872   4312  86588    0    0     8     0  342  258  2 11 87  0  0
 1  0      0 577852   4312  86588    0    0     0     0  291  186  1  4 94  0  0
 0  0      0 509308   4312  86588    0    0     0     0  318  230  0 11 89  0  0
 0  0      0 405988   4320  86588    0    0     0    32  356  439 22 14 61  2  0
 0  0      0 303424   4320  86588    0    0     0     0  349  456 14 16 70  0  0
 0  0      0 201616   4320  86588    0    0     0     0  339  221  2 16 81  0  0
 0  0      0  98800   4320  86588    0    0     0     0  341  239  0 14 86  0  0
 4  0    780  58396   4300  86608    0  624     0   624  308  218  0  7 93  0  0
 2  0  80864  58804   4264  86380   48 80184    48 80200  587  917  1 99  0  0  0
 3  0 108412  59276   4216  83548    8 27564     8 27564  365  322  0 27 60 13  0
 0  0 169956  75776    508  68292   88 61412   944 61412  537  697  2 75 23  0  0
 3  0 194676  52712    384  56636  144 24884   860 25016  469  660  0 46 51  3  0
 0  0 266264  82444    324  50992   16 71588   512 71620  492  686  0 61 38  1  0
 2  0 298700  52544    272  44428    0 32428     4 32428  487  729  1 55 44  0  0
 3  0 402388 110640    188  43496  356 103772  2476 103772  537  723  0 80 18  2  0
 2  1 431572  54748    188  46300 2456 29816  6052 29816  929 1914  1 96  0  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 475092  85704    180  45660  536 43720   564 43720  477  480  0 30 69  1  0
 0  0 591700  96444    176  44496   52 116720   116 116736  616  850  0 67 32  1  0
 2  0 631788  54388    160  43764   60 40000   196 40012  481  574  0 36 64  0  0
 0  0 709916 105584    160  44076    8 78008   116 78008  447  479  0 36 64  0  0
 0  0 797300  93568    152  43196   80 87684    84 87684  516  637  1 52 45  2  0
 3  0 877228  68852    152  43380  120 80004   120 80004  525  748  0 52 46  2  0
 2  1 915772  86964    152  47464  192 38548  4204 38548  477  494  0 33 63  4  0
 0  0 1032196 106404    148  52236  424 116920  7684 116936  697  890  0 79 21  0  0
 2  0 1097732  66396    160  50988  104 65604   128 65604  575  806  0 56 43  1  0
 3  0 1131660  54804    160  50936  112 33860   112 33860  397  319  0 20 78  2  0
 0  0 1223404  82324    156  49660  108 91872   408 91872  574  775  0 58 41  1  0
 3  0 1303076  57116    156  47568  112 79672   112 79672  618  957  0 61 36  2  0
 0  4 1318756  55280    164  47704   20 15764   128 15780  332  300  0  5  0 95  0
 0  5 1327748  60592    164  47724   28 8988    28  8988  477  784  0 28  0 72  0
 0  4 1342660  54432    164  46428  128 15312   128 15312  462  523  0 27  0 73  0
 0  6 1355764  54412    164  46476    0 12876     0 12876  445  799  0 19  0 81  0
 0  5 1373500  61212    164  46496   12 17976    12 17976  322  156  0  6  0 94  0
 0  0 1458564 104836    172  45500  184 84824  1392 84840  679  689  1 26  3 70  0
 3  0 1487092  56352    172  45792   88 28796   904 28796  432  492  0 23 76  1  0
 0  0 1569332 107600    172  47304  168 82440  1472 82440  499  575  0 41 58  1  0
 0  0 1675988 113584    172  45588   84 106692  1060 106720  625  800  1 67 29  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 1715308  56388   1384  45060  120 39428  1364 39452  516  660  1 41 57  1  0
 0  0 1765164  96108   1360  44480  100 50092   100 50092  422  406  0 25 72  3  0
 0  0 1854348  88364   1308  44032   96 89228    96 89228  601  826  0 66 28  6  0
 3  0 1909092  54860   1236  43340   92 54860    92 54860  496  649  0 44 53  2  0
 0  1 1966140  97240   1236  43500  112 57108   112 57108  446  420  0 32 66  2  0
 0  0 2045044  79616   1224  43516   96 79032    96 79048  539  746  0 54 42  4  0
 5  1 2093972  55968   1020  44436  176 49760  2368 49760  913  697  1 63 34  2  0
 1  0 2097148  56672    116  42956  152 4380 22472  4408  735  797  0 62 27 11  0
 4  6 2096860  84128     36  34872   24  604 59184   620  882 3979  0 99  0  1  0
 1  0 807036 1691644    456  72016  440  480 39696   480  829 1477  0 97  0  3  0
